zdcid;zdcxepsg2154;zdcyepsg2154;liftid;liftreason;liftstatus;privateelevatorid;liftsituation;liftdirection;liftstateupdate;liftstate;zdcname;liftmode;centroidzdc
71485;645032;6865544;318;;available;PMR 1 AQ-DEFESP1;Surface <> Salle d'accès <> Quai;La Défense - Grande Arche;2025-11-13T14:10;1;Esplanade de la Défense;Metro;48.88756136779482, 2.250392485215084
483315;649868;6856158;1036;;available;ASC 2 - EQ11-A005-000000308;Couloir;Porte de Clignancourt;2025-11-13T14:10;1;Bagneux - Lucie Aubrac;Metro;48.80354814483759, 2.3174447475670443
70441;649888;6856847;1041;;available;ASC 2 - EQ11-A005-000000306;Couloir;Porte de Clignancourt;2025-11-13T14:10;1;Barbara;Metro;48.80974606530683, 2.3176359734955296
70441;649888;6856847;1043;;available;ASC 6 - EQ11-A005-000000303;Salle d'accès;Toutes directions;2025-11-13T14:10;1;Barbara;Metro;48.80974606530683, 2.3176359734955296
70586;650128;6857831;749;;available;PBS2 (FRANCELIFT);À l'avant du quai M4;Porte de Clignancourt;2025-11-13T14:10;1;Mairie de Montrouge;Metro;48.8186139988321, 2.3207885883263857
70586;650128;6857831;752;;available;PBS3 (FRANCELIFT);Salle d'accès;;2025-11-13T14:10;1;Mairie de Montrouge;Metro;48.8186139988321, 2.3207885883263857
71597;653995;6859844;779;;available;QDLG2;Salle d'accès <> Quai 2;Nation;2025-11-13T14:10;1;Quai de la Gare;Metro;48.8370047717526, 2.373233712730185
490779;658020;6864745;1214;;available;EQ11-A005-000000330;Couloir;Rosny-sous-Bois;2025-11-13T14:10;1;Serge Gainsbourg;Metro;48.881353976563204, 2.427583764655313
490779;658020;6864745;1217;;available;EQ11-A005-000000333;Voirie;;2025-11-13T14:10;1;Serge Gainsbourg;Metro;48.881353976563204, 2.427583764655313
490782;660791;6864347;1191;;available;EQ11-A001-000000063;Couloir;Châtelet;2025-11-13T14:10;1;La Dhuys;Metro;48.87794952079799, 2.465403145134867
490782;660791;6864347;1195;;available;EQ11-A001-000000067;Couloir;;2025-11-13T14:10;1;La Dhuys;Metro;48.87794952079799, 2.465403145134867
490783;661010;6864793;1183;;available;EQ11-A005-000000317;Couloir;Châtelet;2025-11-13T14:10;1;Coteaux Beauclair;Metro;48.88197361288965, 2.468348077272814
71870;655879;6864078;1087;;available;ASC 01 - PMR;Palier Couloir au bout des 2 quais <> Edicule en voirie sortie 4;;2025-11-13T14:10;1;Télégraphe;Metro;48.87521266293494, 2.3984606497150964
71897;660010;6864314;1201;;available;EQ11-A005-000000327;Voirie;;2025-11-13T14:10;1;Montreuil - Hôpital;Metro;48.8776047330829, 2.4547580078873743
71947;658991;6864965;1210;;available;EQ11-A005-000000339;Couloir;Rosny-sous-Bois;2025-11-13T14:10;1;Romainville - Carnot;Metro;48.883394955859096, 2.440802096054695
72524;654660;6868421;1059;;available;ASC 3 - EQ11-A005-000000291;Quai 1;Marie d'Aubervilliers;2025-11-13T14:10;1;Mairie d'Aubervilliers;Metro;48.91418295787966, 2.3813777712058912
72240;647721;6869447;372;;available;APMR2;Salle d'accès <> Quai 2;Châtillon;2025-11-13T14:10;1;Les Agnettes;Metro;48.922882824193486, 2.2865798895204175
72286;647506;6870303;369;;available;CPMR1;Salle d'accès <> Quai 1;Terminus;2025-11-13T14:10;1;Asnières - Gennevilliers Les Courtilles;Metro;48.93056269820093, 2.2835400877027894
72358;653459;6871990;322;;available;PMR1 AQ-SDUN1;Salle d'accès <> Quai;Sortie Uniquement;2025-11-13T14:10;1;Saint-Denis - Université;Metro;48.94619079544266, 2.36460009946497
71264;652183;6862222;250;;available;CHL ASC_00002;Salle d'accès <> Quai 2;Saint-Lazare;2025-11-13T14:10;1;Châtelet;Metro;48.85825817279242, 2.3482809656375117
71557;653546;6858743;267;;available;OLY ASC_0001;Surface <> Salle d'accès;;2025-11-13T14:10;1;Olympiades;Metro;48.82707114044148, 2.3672370527847444
71576;654968;6859428;254;;available;EMI ASC_00001;Surface <> Salle d'accès;;2025-11-13T14:10;1;Cour Saint-Emilion;Metro;48.83333236035467, 2.3865332328546014
71607;654587;6860063;928;;available;ASC 05;Salle d'accès <> Quai 2;Aéroport d'Orly;2025-11-13T14:10;1;Bercy;Metro;48.83901624451493, 2.381275335129965
71828;656092;6863313;755;;available;PEL1;Accès rez de voirie;;2025-11-13T14:10;1;Pelleport;Metro;48.868347707222064, 2.401443609350289
71900;654660;6864438;698;;available;BUT1;Couloir 202, Couloir 206, Couloir 208;Louis Blanc;2025-11-13T14:10;1;Buttes Chaumont;Metro;48.87836539417017, 2.3818032240759908
60536;648894;6837513;1095;;available;0FD31561-9D78-4CF9-90CE-4B3430F44D24;Quai 1 Voie 1B;Paris;2025-11-08T03:04;1;Saint-Michel-sur-Orge;RapidTransit;48.63577967386309, 2.306413995159187
60536;648894;6837513;1096;;available;B79CB2AF-E4B7-4702-B054-BBBD969B8B1E;Quai 2 Voie 2B;Province;2025-11-08T03:04;1;Saint-Michel-sur-Orge;RapidTransit;48.63577967386309, 2.306413995159187
60987;652219;6841937;1102;;available;A4740ABC-4F01-4B50-A086-64814671F590;Quai bâtiment voyageurs;;2025-11-08T03:04;1;Savigny-sur-Orge;RapidTransit;48.67582538038885, 2.351043758522644
65305;647737;6873961;573;;available;A6979CD3-0BFB-4B64-8CD7-5AA9202E1B80;Accès Quai 2;Province;2025-11-08T03:04;1;Saint-Gratien;RapidTransit;48.963474598079735, 2.286241421030079
69487;640111;6855786;1020;;available;17868537-9C17-4663-8B01-A14A2C3CBED7;Sortie gare routière;;2025-11-08T03:04;1;Chaville - Vélizy;RapidTransit;48.799370363371736, 2.1846625909276614
69852;656663;6851805;894;;available;465C73E0-6F7E-4A54-9713-0C7DF70C4CEA;Accès Passerelle;Paris  /  Province;2025-11-08T03:04;1;Choisy-le-Roi;RapidTransit;48.764891736689336, 2.4103985841267215
70064;656535;6853835;1159;;;492108 - ASC.PMR 4603;Quai 1;;;;Les Ardoines;RapidTransit;48.78314016827999, 2.40845030577506
71016;645961;6859114;1015;;available;FA1DEB6E-6305-4BFC-8074-29C7BEF2BDB9;Quai A Voie 2;Province;2025-11-08T03:05;1;Issy Val de Seine;RapidTransit;48.829816302035745, 2.2638780990371616
71135;653530;6860442;123;;available;d114adde-06af-4a47-86bf-b9b0f2ccb905;Voies 1 et 3 RER C <> Acces Quais Gare souterraine;Massy  /  Rungis  /  Dourdan  /  Étampes;2025-11-08T03:05;1;Gare d'Austerlitz;RapidTransit;48.84234925822786, 2.366833555310353
71229;646791;6862070;20;;available;22A9224D-5590-4BBB-9D83-37A8D1494E06;Hall <> Voie 1;Invalides  /  Brétigny  /  Massy  /  Rungis;2025-11-08T03:04;1;Boulainvilliers;RapidTransit;48.85646848002983, 2.274813962259662
71274;649654;6862630;69;;available;63746CEA-52FF-411B-8AA1-610D2B5CEC0A;Salle d'accès <> Quai B;Massy  /  Brétigny;2025-11-08T03:05;1;Invalides;RapidTransit;48.86173457450557, 2.3137654725033965
71274;649654;6862630;70;;available;93AAE948-42E3-4021-9A84-55AE5EE1FC3A;Salle d'accès <> Hall;;2025-11-08T03:04;1;Invalides;RapidTransit;48.86173457450557, 2.3137654725033965
71274;649654;6862630;897;;available;EF096D00-259E-4168-AF33-F51AC9F7BF6D;Accès Quai d'Orsay;;2025-11-08T03:05;1;Invalides;RapidTransit;48.86173457450557, 2.3137654725033965
71286;646646;6862990;14;;available;253642DA-0777-4B29-9E84-96602F1FD03E;Hall <> Voie 2;Pontoise  /  Argenteuil;2025-11-08T03:04;1;Avenue Henri Martin;RapidTransit;48.86472985953426, 2.272722383924102
71321;646801;6863558;13;;available;A83A149C-680E-4E69-9CCD-1D6091F5A64E;Hall <> Quai Central;Pontoise  /  Invalides  /  Brétigny  /  Massy  /  Rungis;2025-11-08T03:04;1;Avenue Foch;RapidTransit;48.86985055745309, 2.27476398723021
71545;649689;6866263;154;;available;91A2E332-049F-4318-8A34-20F5B26D68F5;Rue <> Bâtiment voyageurs <> Quai A;Pontoise  /  Argenteuil;2025-11-08T03:04;1;Porte de Clichy;RapidTransit;48.894407769881894, 2.313812198503361
71545;649689;6866263;997;;available;EQ11-A005-000000266;Accés supérieur sortie 5 <> Correspondance M13 Chatillon et M13 Asnières / Sortie 1;;2025-11-13T14:10;1;Porte de Clichy;RapidTransit;48.894407769881894, 2.313812198503361
71545;649689;6866263;998;;available;EQ11-A005-000000267;Couloir;;2025-11-13T14:10;1;Porte de Clichy;RapidTransit;48.894407769881894, 2.313812198503361
