Station,Provenance,Description,Ligne de Provenance,ID Zone arret ICAR,ID Ligne de Provenance
Abbesses,Mairie d'Issy,"En queue, un couloir perpendiculaire au quai qui se sépare ensuite en deux avec un ascenseur à 12 H, et un escalier montant à 3 H, pour les sorties place des Abbesse, rue Yvonne le Tac, rue des Abbesse, rue la Vieux Ville et le funiculaire.
En queue, dans le prolongement du quai, des portes battantes pour les voyageurs qui entrent.",12,42154,C01382
Abbesses,Mairie d'Aubervilliers,"En tête, un couloir perpendiculaire au quai qui se sépare ensuite en deux avec un escalier montant à 9 H, et un ascenseur à 12 H, pour les sorties place des Abbesse, rue Yvonne le Tac, rue des Abbesse, rue la Vieux Ville et le funiculaire.",12,42154,C01382
Alésia,Porte de Clignancourt,"En tÃªte, dans le prolongement du quai, un double escalier montant pour les sorties place Victor et HÃ©lÃ¨ne Basch, rue d'AlÃ©sia, avenue du Maine, rue du Moulin Vert.
Au troisiÃ¨me tiers, un couloir perpendiculaire au quai, suivi de trois portes battantes pour la sortie avenue du gÃ©nÃ©ral Leclerc.",4,42175,C01374
Alésia,Bagneux - Lucie Aubrac,"En queue, dans le prolongement du quai, un escalier montant pour les sorties place Victor et HÃ©lÃ¨ne Basch, rue d'AlÃ©sia, avenue du Maine, avenue du gÃ©nÃ©ral Leclerc, rue du Moulin Vert.",4,42175,C01374
Alexandre Dumas,Nation (2 par Barbès-Rochechouart),"En tête, un escalier montant pour les sorties.
A l'extérieur, on arrive sur une plateforme, au milieu du boulevard de Charonne qui se prolonge à 12 H, avec la rue de Charonne à gauche et la rue de Bagnolet à droite.",2,45196,C01372
Alexandre Dumas,Porte Dauphine,"En queue, un escalier montant pour les sorties.
A l'extérieur, on arrive sur une plateforme, au milieu du boulevard de Charonne qui se prolonge à 12 H, avec la rue de Charonne à gauche et la rue de Bagnolet à droite.",2,45196,C01372
Alma - Marceau Pont de l'Alma,Mairie de Montreuil,"En tête, un couloir perpendiculaire au quai pour la sortie avenue du président Wilson par l'escalator.
Au premier tiers, un couloir perpendiculaire au quai pour la sortie avenue du président Wilson.
En queue, un escalier montant dans le prolongement du quai pour le RER C station Pont de l'Alma et les sorties avenue Montaigne et le Pont de l'alma.",9,42182,C01379
Alma - Marceau Pont de l'Alma,Pont de Sèvres,"En tête, un escalier montant dans le prolongement du quai pour le RER C station Pont de l'Alma et les sorties avenue Montaigne et le pont de l'alma.
Au troisième tiers, un couloir perpendiculaire au quai pour la sortie avenue du président Wilson.",9,42182,C01379
Alma - Marceau Pont de l'Alma,"Champ de Mars, Pontoise, Versailles-rive gauche, St-Quentin","En tête une rangée de composteurs dans le prolongement du quai.
Les composteurs situés contre le mur sont pour la ligne 9 et la sortie. Ceux situés contre le quai sont pour entrer dans le RER.",C,42182,C01727
Alma - Marceau Pont de l'Alma,"Choisy-le-Roi, Massy-Palaiseau, Dourdan, St-Martin d'Etampes, Versailles chantiers","En queue, une rangée de composteurs dans le prolongement du quai.
Les composteurs les plus contre le mur sont pour la ligne 9 et la sortie. Ceux contre le quai sont pour entrer dans le RER.",C,42182,C01727
Anatole France,Galiéni,"En tête, un couloir perpendiculaire au quai, suivi d'un escalier montant qui tourne à droite pour les sorties rue Voltaire et rue Anatole France.
Au deuxième tiers, un couloir de quelques mètres, perpendiculaire au quai suivi d'une porte battante pour la sortie rue Voltaire par l'escalator.
Note : Le quai en direction de Galliéni est légèrement décalé.",3,53421,C01373
Anatole France,Pont de Levallois,"Au premier tiers, un couloir perpendiculaire au quai, suivi d'un escalier montant qui tourne à droite pour les sorties rue Voltaire et rue Anatole France.
Note : Le quai en direction de pont de Levallois est légèrement décalé.",3,53421,C01373
Anvers,Nation (2 par Barbès-Rochechouart),"En tête, un escalier montant pour les sorties boulevard de Rochechouart, rue d'Anvers, rue de Steinkerque et le Sacré-Coeur.",2,42210,C01372
Anvers,Porte Dauphine,"En queue, un escalier montant pour les sorties boulevard de Rochechouart, rue d'Anvers, rue de Steinkerque et le Sacré-Coeur.",2,42210,C01372
Argentine,Balard,"En tête, un escalier montant dans le prolongement du quai pour les sorties boulevard des filles du Calvaire, musée Picasso, rue Amelot, cirque Divers.",8,42213,C01378
Argentine,Château de Vincennes,"En tête, un couloir perpendiculaire au quai pour les sorties rue des Acacia et avenue de la Grande Armée.",1,42213,C01371
Argentine,La Défense Grande Arche,"En queue, un couloir perpendiculaire au quai pour les sorties rue des Acacia et avenue de la Grande Armée.",1,42213,C01371
Arts et Métiers,Chatelet,"En tête, un escalier montant dans le prolongement du quai pour la sortie rue des Vertus.
En queue, au niveau de la fin du dernier wagon, un couloir perpendiculaire au quai pour la ligne 3.
En queue, un couloir perpendiculaire au quai pour les sorties rue de Turbigo et le musée des Arts et Métiers.",11,42230,C01381
Arts et Métiers,Galiéni,"En tête, un couloir perpendiculaire au quai pour une sortie.
En queue, un couloir dans le prolongement du quai pour la ligne 11.
Avertissement : la rame est plus courte que le quai.",3,42230,C01373
Arts et Métiers,Mairie des Lilas,"En tête, un escalier montant perpendiculaire au quai, pour les sorties rue de Turbigo et le musée des Arts et Métiers.
En tête un couloir perpendiculaire au quai, qui oblique tout de suite vers la gauche, pour la correspondance de la ligne 3.
En queue, un escalier montant dans le prolongement du quai, pour la sortie rue des Vertus.",11,42230,C01381
Arts et Métiers,Pont de Levallois,"En tête, un escalier descendant perpendiculaire au quai, au-delà du premier wagon.
Au troisième tiers, au niveau du quatrième wagon, un couloir perpendiculaire au quai, pour une sortie.
Avertissement : la rame est plus courte que le quai.",3,42230,C01373
Asnières - Gennevilliers - Les Courtilles,Châtillon - Montrouge,"Au premier tiers, un escalier montant, parallÃ¨le au quai, ouvert vers la tÃªte pour les sorties boulevard Intercommunal, avenue de la Redoute, le T1 et les bus 238, 276 et N51.
Au milieu, un ascenseur situÃ© Ã  gauche dâ€™un petit renfoncement pour les mÃªmes sorties.
Au troisiÃ¨me tiers, un escalator montant, parallÃ¨le au quai, ouvert vers la queue pour les mÃªmes sorties.",T6,42231,C01794
Asnières - Gennevilliers - Les Courtilles,Gare de Noisy-le-Sec,"En queue du quai on va avoir Ã  9 H, la direction pour lâ€™entrÃ©e du mÃ©tro et Ã  3 H, le passage pour le quai en direction de gare de Noisy-le-Sec.
La rue Lanternier longe le quai en direction de gare de Noisy-le-Sec.",T4,42231,C01843
Assemblée Nationale,Mairie d'Issy,"En tête, un escalier montant dans le prolongement du quai pour les sorties rue de Lille, le musée d'Orsay et la correspondance pour le RER C.
En queue, un couloir dans le prolongement du quai pour la sortie rue de l'Université.",12,45704,C01382
Assemblée Nationale,Mairie d'Aubervilliers,"En tête, un couloir dans le prolongement du quai pour la sortie rue de l'Université.
En queue, un escalier montant dans le prolongement du quai pour les sorties rue de Lille, le musée d'Orsay et la correspondance pour le RER C.",12,45704,C01382
Auber,"Nanterre-Préfecture, St-Germain, Cergy, Poissy","En tête, un couloir perpendiculaire au quai, passage interdit.
Au premier tiers, deux couloirs perpendiculaires au quai pour les lignes 3, 7, 8 par la station Opéra, la ligne 9, la direction de Pont de Levallois par la station Havre-Caumartin et le RER E par Haussmann-Saint-Lazare.
Au milieu, deux couloirs perpendiculaires au quai pour les mêmes directions et la sortie pour Roissybus.
Au début du troisième tiers, deux couloirs perpendiculaires au quai, passage interdit.
A la fin du troisième tiers, deux couloirs perpendiculaires au quai pour les lignes 3, 7, 8 par la station Opéra, la ligne 9, la direction de Pont de Levallois par la station Havre-Caumartin et le RER E par Haussmann-Saint-Lazare.
A la fin du troisième tiers, un relais et une vente de boisson.
En queue, deux couloirs perpendiculaires au quai pour les mêmes directions et la sortie pour Roissybus.
En queue, au-delà du train, un couloir perpendiculaire au quai, passage interdit.
En queue, un ascenseur dans le prolongement du quai pour les lignes 3, 7, 8 par la station Opéra,pour la ligne 9, la direction Pont de Levallois par la station Havre-Caumartin et le RER E par Haussmann-Saint-Lazare et les sorties.",A,45873,C01742
