from_type;from_id;from_name;line_id;line_name;to_type;to_id;to_name;position_average;position;position_max;equipment_type
stop_point;462969;test;C01378;8;stop_point;58566;test;Arrière;5;5;Ascenseur
stop_point;22194;Madeleine;C01378;8;stop_point;463081;Madeleine;Arrière;5;5;
stop_point;21970;Duroc;C01380;10;stop_point;463083;Duroc;Arrière;5;5;
stop_point;463129;Bercy;C01384;14;stop_point;463128;Bercy;Arrière;6;8;Ascenseur
stop_point;22007;Gare du Nord;C01375;5;stop_point;472111;Paris Gare du Nord;Milieu;3;5;
stop_point;22381;Opéra;C01377;7;stop_point;473924;Auber;Arrière;5;5;
stop_point;463193;La Défense;C01371;1;stop_point;473935;La Défense;Arrière;6;6;
stop_point;463104;Denfert-Rochereau;C01374;4;stop_point;473994;Denfert-Rochereau;Arrière;6;6;
stop_point;463046;Gare de Lyon;C01384;14;stop_point;474062;Gare de Lyon;Arrière;6;8;
stop_point;463002;Bobigny - Pantin - Raymond Queneau;C01375;5;access_point;50147750;7 rue de Paris;Avant;2;5;
stop_point;22013;Gare de l'Est;C01375;5;access_point;50147777;Rue du Faubourg Saint-Martin;Avant;2;5;
stop_point;21966;Châtelet;C01381;11;access_point;50147791;63 - 65 rue de Rivoli;Avant;1;5;
stop_point;463079;Châtelet;C01381;11;access_point;50147792;5 rue Saint-Denis;Arrière;5;5;
stop_point;22087;Châtelet;C01371;1;access_point;50147798;7 avenue Victoria;Avant;2;6;
stop_point;463312;Strasbourg - Saint-Denis;C01378;8;access_point;50147823;18 rue Saint-Denis;Arrière;5;5;
stop_point;463264;Strasbourg - Saint-Denis;C01379;9;access_point;50147823;18 rue Saint-Denis;Arrière;5;5;
stop_point;463264;Strasbourg - Saint-Denis;C01379;9;access_point;50147825;28 boulevard Saint-Denis;Avant;1;5;
stop_point;22038;Gare Montparnasse;C01382;12;access_point;50147832;Maine Montparnasse;Arrière;4;5;
stop_point;22131;Raspail;C01374;4;access_point;50147856;Boulevard Edgard Quinet;Arrière;6;6;
stop_point;463258;Porte de Champerret;C01373;3;access_point;50147886;Avenue Stéphane Mallarmé;Arrière;5;5;
stop_point;21945;Gambetta;C01386;3B;access_point;50147892;Père-Lachaise;Arrière;3;3;
stop_point;22026;Temple;C01373;3;access_point;50147921;Rue du Temple;Arrière;5;5;
stop_point;463170;Esplanade de la Défense;C01371;1;access_point;50147944;Quartier Bellini;Avant;2;6;
stop_point;462943;Nation;C01371;1;access_point;50147946;Terre-plein face au 28 place de la Nation;Arrière;6;6;
stop_point;21952;Jaurès;C01375;5;access_point;50147954;Face au 196 boulevard de la Villette;Arrière;5;5;
stop_point;463181;Franklin D. Roosevelt;C01371;1;access_point;50147973;27 avenue des Champs-Elysées;Arrière;5;6;
stop_point;22379;Pont Neuf;C01377;7;access_point;50148108;quai du Louvre;Avant;1;5;
stop_point;463030;Porte de Choisy;C01377;7;access_point;50148134;130 boulevard Masséna;Arrière;5;5;
stop_point;22399;Villejuif Léo Lagrange;C01377;7;access_point;50148147;34 avenue de Paris;Arrière;4;5;
stop_point;21933;Bonne Nouvelle;C01379;9;access_point;50148182;5 Boulevard du Faubourg Poissonnière;Avant;1;5;
